@relation CornellMovies_v2

@attribute positive_adjectives_count numeric
@attribute negative_adjectives_count numeric
@attribute positive_to_negative_ratio_of_adjectives_count numeric
@attribute positive_to_negative_ratio_of_adverbs_count numeric
@attribute positive_adverbs_count_and_bigrams_with_adverbs numeric
@attribute negative_adverbs_count_and_bigrams_with_adverbs numeric
@attribute positive_adjectives_count_and_bigrams_with_adjectives numeric
@attribute negative_adjectives_count_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adjectives_count_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adverbs_count_and_bigrams_with_adverbs numeric
@attribute selected_ngrams_count numeric
@attribute original_document_size numeric
@attribute positive_unigrams_and_bigrams_count numeric
@attribute negative_unigrams_and_bigrams_count numeric
@attribute percentage_of_negated_ngrams_by_document_size numeric
@attribute positive_to_negative_ratio_of_unigrams_and_bigrams_count numeric
@attribute positive_unigrams_bigrams_and_trigrams_count numeric
@attribute negative_unigrams_bigrams_and_trigrams_count numeric
@attribute positive_to_negative_ratio_of_unigrams_bigrams_and_trigrams_count numeric
@attribute positive_adjectives_sum numeric
@attribute negative_adjectives_sum numeric
@attribute positive_to_negative_ratio_of_adjectives_sum numeric
@attribute positive_to_negative_ratio_of_adverbs_sum numeric
@attribute sum_ratio_of_positive_adjectives numeric
@attribute sum_ratio_of_positive_adverbs numeric
@attribute sum_ratio_of_negative_adjectives numeric
@attribute sum_ratio_of_negative_adverbs numeric
@attribute positive_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute negative_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute positive_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute negative_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute sum_ratio_of_positive_adjectives_and_bigrams_with_adjectives numeric
@attribute sum_ratio_of_negative_adjectives_and_bigrams_with_adjectives numeric
@attribute sum_ratio_of_positive_adverbs_and_bigrams_with_adverbs numeric
@attribute sum_ratio_of_negative_adverbs_and_bigrams_with_adverbs numeric
@attribute positive_unigrams_and_bigrams_sum numeric
@attribute negative_unigrams_and_bigrams_sum numeric
@attribute sum_ratio_of_positive_unigrams_and_bigrams numeric
@attribute sum_ratio_of_negative_unigrams_and_bigrams numeric
@attribute positive_to_negative_ratio_of_unigrams_and_bigrams_sum numeric
@attribute positive_unigrams_bigrams_and_trigrams_sum numeric
@attribute negative_unigrams_bigrams_and_trigrams_sum numeric
@attribute sum_ratio_of_positive_unigrams_bigrams_and_trigrams numeric
@attribute sum_ratio_of_negative_unigrams_bigrams_and_trigrams numeric
@attribute positive_to_negative_ratio_of_unigrams_bigrams_and_trigrams_sum numeric
@attribute max_rule_for_adjective numeric
@attribute max_rule_for_adverbs_and_bigrams_with_adverbs numeric
@attribute max_rule_for_adjective_and_bigrams_with_adjectives numeric
@attribute max_rule_for_unigrams_and_bigrams numeric
@attribute max_rule_for_unigrams_bigrams_and_trigrams numeric
@attribute polarity {positive,negative}

@data
22,6,16,1,1,0,22,6,16,1,29,284,23,6,0,17,23,6,17,7.16346,-1.39983,5.76363,0.39079,0.025223,0.001376,-0.004929,0,0.39079,0,7.16346,-1.39983,5.76363,0.39079,0.025223,-0.004929,0.001376,0,7.55425,-1.39983,0.026599,-0.004929,6.15442,7.55425,-1.39983,0.026599,-0.004929,8.95408,1,1,1,1,1,positive
5,1,4,2,2,0,5,1,4,2,8,117,7,1,0,6,7,1,6,1.51016,-0.297315,1.212845,0.28082,0.012907,0.0024,-0.002541,0,0.28082,0,1.51016,-0.297315,1.212845,0.28082,0.012907,-0.002541,0.0024,0,1.79098,-0.297315,0.015308,-0.002541,1.493665,1.79098,-0.297315,0.015308,-0.002541,2.088295,1,1,1,1,1,positive
26,8,18,0,0,0,27,10,17,0,37,529,27,10,0,17,27,10,17,7.21022,-3.031335,4.178885,0,0.01363,0,-0.00573,0,0,0,7.30502,-3.53337,3.77165,0,0.013809,-0.006679,0,0,7.30502,-3.53337,0.013809,-0.006679,3.77165,7.30502,-3.53337,0.013809,-0.006679,10.83839,1,-1,1,1,1,positive
29,4,25,-2,0,2,29,5,24,-2,36,306,29,7,0,22,29,7,22,7.91346,-2.10858,5.80488,-1.015125,0.025861,0,-0.006891,-0.003317,0,-1.015125,7.91346,-2.78745,5.12601,-1.015125,0.025861,-0.009109,0,-0.003317,7.91346,-3.802575,0.025861,-0.012427,4.110885,7.91346,-3.802575,0.025861,-0.012427,11.716035,0,0,0,0,0,positive
27,3,24,0,1,1,27,4,23,0,33,284,28,5,0,23,28,5,23,8.32797,-1.06512,7.26285,0.08991,0.029324,0.000634,-0.00375,-0.000317,0.18003,-0.09012,8.32797,-1.271385,7.056585,0.08991,0.029324,-0.004477,0.000634,-0.000317,8.508,-1.361505,0.029958,-0.004794,7.146495,8.508,-1.361505,0.029958,-0.004794,9.869505,1,1,1,1,1,positive
32,8,24,2,4,1,35,11,24,3,51,731,39,12,0.002736,27,39,12,27,8.178832,-2.639325,5.539507,0.32925,0.011189,0.000574,-0.003611,-0.000123,0.76352,-0.09012,9.166889,-3.243135,5.923754,0.6734,0.01254,-0.004437,0.001044,-0.000123,9.930409,-3.333255,0.013585,-0.00456,6.597154,9.930409,-3.333255,0.013585,-0.00456,13.263664,0,1,0,0,0,positive
14,6,8,-1,0,1,15,6,9,-1,22,294,15,7,0,8,15,7,8,4.7411,-2.193675,2.547425,-0.43125,0.016126,0,-0.007461,-0.001467,0,-0.43125,5.39118,-2.193675,3.197505,-0.43125,0.018337,-0.007461,0,-0.001467,5.39118,-2.624925,0.018337,-0.008928,2.766255,5.39118,-2.624925,0.018337,-0.008928,8.016105,0,0,0,0,0,positive
11,3,8,3,4,0,11,3,8,4,18,228,15,3,0,12,15,3,12,4.89041,-1.800795,3.089615,0.354895,0.021449,0.001557,-0.007898,0,0.575689,0,4.89041,-1.800795,3.089615,0.575689,0.021449,-0.007898,0.002525,0,5.466099,-1.800795,0.023974,-0.007898,3.665304,5.466099,-1.800795,0.023974,-0.007898,7.266894,0,1,0,0,0,positive
17,5,12,1,1,0,19,5,14,1,25,350,20,5,0,15,20,5,15,3.9108,-1.08864,2.82216,0.08252,0.011174,0.000236,-0.00311,0,0.08252,0,5.36586,-1.08864,4.27722,0.08252,0.015331,-0.00311,0.000236,0,5.44838,-1.08864,0.015567,-0.00311,4.35974,5.44838,-1.08864,0.015567,-0.00311,6.53702,1,1,1,1,1,positive
76,35,41,5,7,2,77,40,37,5,126,1226,84,42,0.000816,42,84,42,42,19.45552,-11.845935,7.609585,1.073105,0.015869,0.001287,-0.009662,-0.000412,1.57835,-0.505245,19.49806,-14.00312,5.49494,1.073105,0.015904,-0.011422,0.001287,-0.000412,21.07641,-14.508365,0.017191,-0.011834,6.568045,21.07641,-14.508365,0.017191,-0.011834,35.584775,0,1,0,0,0,negative
19,4,15,1,2,0,19,5,14,2,26,255,21,5,0,16,21,5,16,6.6784,-2.094105,4.584295,0.17826,0.02619,0.000699,-0.008212,0,0.30034,0,6.6784,-2.844255,3.834145,0.30034,0.02619,-0.011154,0.001178,0,6.97874,-2.844255,0.027368,-0.011154,4.134485,6.97874,-2.844255,0.027368,-0.011154,9.822995,1,1,0,0,0,positive
5,9,-4,0,0,0,5,9,-4,0,15,199,5,9,0,-4,5,10,-5,2.08274,-4.32042,-2.23768,0,0.010466,0,-0.021711,0,0,0,2.08274,-4.32042,-2.23768,0,0.010466,-0.021711,0,0,2.08274,-4.32042,0.010466,-0.021711,-2.23768,2.08274,-4.37478,0.010466,-0.021984,6.45752,0,-1,0,0,0,negative
34,10,24,3,6,3,34,10,24,3,53,770,40,13,0,27,40,13,27,6.73655,-2.45229,4.28426,0.336465,0.008749,0.001047,-0.003185,-0.00061,0.80595,-0.469485,6.73655,-2.45229,4.28426,0.336465,0.008749,-0.003185,0.001047,-0.00061,7.5425,-2.921775,0.009795,-0.003795,4.620725,7.5425,-2.921775,0.009795,-0.003795,10.464275,1,1,1,1,1,negative
18,13,5,1,3,1,18,15,3,2,37,389,21,16,0,5,21,16,5,4.50393,-8.242695,-3.738765,0.328935,0.011578,0.001913,-0.021189,-0.001067,0.92232,-0.415125,4.50393,-9.873086,-5.369156,0.507195,0.011578,-0.025381,0.002371,-0.001067,5.42625,-10.288211,0.013949,-0.026448,-4.861961,5.42625,-10.288211,0.013949,-0.026448,15.714461,0,0,0,0,0,negative
9,2,7,0,1,2,11,5,6,-1,19,222,12,7,0.022523,5,12,7,5,3.84146,-0.896385,2.945075,0.30067,0.017304,0.00176,-0.004038,-0.000406,0.39079,-0.41009,5.084748,-1.895055,3.189693,-0.0193,0.022904,-0.008536,0.00176,-0.001847,5.475538,-2.305145,0.024665,-0.010384,3.170393,5.475538,-2.305145,0.024665,-0.010384,7.780683,0,1,1,1,1,positive
32,16,16,5,6,0,32,18,14,6,56,691,38,18,0.002894,20,38,18,20,5.37182,-3.525975,1.845845,0.59085,0.007774,0.000855,-0.005103,0,0.71293,0,5.37182,-4.051035,1.320785,0.71293,0.007774,-0.005863,0.001032,0,6.08475,-4.051035,0.008806,-0.005863,2.033715,6.08475,-4.051035,0.008806,-0.005863,10.135785,0,1,0,0,0,positive
15,6,9,5,5,0,17,9,8,5,31,315,22,9,0.006349,13,22,9,13,6.089295,-1.680345,4.40895,0.74406,0.019331,0.002362,-0.005334,0,0.74406,0,6.90305,-2.25536,4.64769,0.74406,0.021914,-0.00716,0.002362,0,7.64711,-2.25536,0.024277,-0.00716,5.39175,7.64711,-2.25536,0.024277,-0.00716,9.90247,1,1,1,1,1,positive
14,5,9,0,1,0,14,7,7,1,22,245,15,7,0,8,15,7,8,5.12699,-0.87588,4.25111,0,0.020926,0,-0.003575,0,0.35327,0,5.12699,-1.146199,3.980791,0.35327,0.020926,-0.004678,0.001442,0,5.48026,-1.146199,0.022368,-0.004678,4.334061,5.48026,-1.146199,0.022368,-0.004678,6.626459,1,1,1,1,1,positive
19,7,12,3,3,0,20,7,13,3,30,314,23,7,0,16,23,7,16,7.01128,-1.643265,5.368015,0.35327,0.022329,0.001125,-0.005233,0,0.35327,0,7.492568,-1.643265,5.849303,0.35327,0.023862,-0.005233,0.001125,0,7.845838,-1.643265,0.024987,-0.005233,6.202573,7.845838,-1.643265,0.024987,-0.005233,9.489103,0,1,0,0,0,positive
89,17,72,-3,6,7,114,33,81,-1,160,1520,120,40,0.014474,80,120,40,80,19.343633,-5.422151,13.921481,-1.01487,0.012726,0.00026,-0.003567,-0.000927,0.98185,-1.4094,27.12034,-10.308279,16.812061,-0.42755,0.017842,-0.006782,0.000646,-0.000927,28.10219,-11.717679,0.018488,-0.007709,16.384511,28.10219,-11.717679,0.018488,-0.007709,39.819869,0,0,0,0,0,positive
9,6,3,1,2,1,9,8,1,1,20,226,11,9,0,2,11,9,2,4.37041,-1.860255,2.510155,-0.32975,0.019338,0.001329,-0.008231,-0.002788,0.30034,-0.63009,4.37041,-2.966535,1.403875,-0.32975,0.019338,-0.013126,0.001329,-0.002788,4.67075,-3.596625,0.020667,-0.015914,1.074125,4.67075,-3.596625,0.020667,-0.015914,8.267375,1,0,0,0,0,negative
7,6,1,-1,0,1,11,7,4,-1,19,213,11,8,0,3,11,8,3,2.23646,-2.152425,0.084035,-0.05436,0.0105,0,-0.010105,-0.000255,0,-0.05436,4.19549,-3.003765,1.191725,-0.05436,0.019697,-0.014102,0,-0.000255,4.19549,-3.058125,0.019697,-0.014357,1.137365,4.19549,-3.058125,0.019697,-0.014357,7.253615,0,0,1,1,1,positive
55,18,37,3,7,2,61,26,35,5,96,784,68,28,0.006378,40,68,28,40,14.48959,-5.616105,8.873485,0.459482,0.018482,0.001116,-0.007163,-0.000529,0.95656,-0.415125,16.251445,-9.597225,6.65422,0.541435,0.020729,-0.012241,0.00122,-0.000529,17.208005,-10.01235,0.021949,-0.012771,7.195655,17.208005,-10.01235,0.021949,-0.012771,27.220355,0,1,0,0,0,positive
20,7,13,2,2,0,21,7,14,2,30,334,23,7,0,16,23,7,16,4.73807,-2.20938,2.52869,0.12208,0.014186,0.000366,-0.006615,0,0.12208,0,5.25061,-2.20938,3.04123,0.12208,0.01572,-0.006615,0.000366,0,5.37269,-2.20938,0.016086,-0.006615,3.16331,5.37269,-2.20938,0.016086,-0.006615,7.58207,1,1,1,1,1,negative
12,7,5,1,1,0,13,10,3,1,24,291,14,10,0.013746,4,14,10,4,4.494155,-3.16173,1.332425,0.39079,0.015444,0.001343,-0.010865,0,0.39079,0,4.735345,-4.037915,0.69743,0.39079,0.016273,-0.013876,0.001343,0,5.126135,-4.037915,0.017616,-0.013876,1.08822,5.126135,-4.037915,0.017616,-0.013876,9.16405,0,1,0,0,0,negative
57,17,40,4,7,3,64,20,44,4,94,1031,71,23,0,48,71,23,48,13.86868,-4.365683,9.502998,0.672075,0.013452,0.001142,-0.004234,-0.00049,1.17732,-0.505245,15.80007,-5.499218,10.300853,0.672075,0.015325,-0.005334,0.001142,-0.00049,16.97739,-6.004463,0.016467,-0.005824,10.972928,16.97739,-6.004463,0.016467,-0.005824,22.981853,0,1,0,0,0,positive
13,7,6,2,2,0,13,8,5,2,23,283,15,8,0,7,15,8,7,3.40848,-3.78396,-0.37548,0.39079,0.012044,0.001381,-0.013371,0,0.39079,0,3.40848,-4.19646,-0.78798,0.39079,0.012044,-0.014828,0.001381,0,3.79927,-4.19646,0.013425,-0.014828,-0.39719,3.79927,-4.19646,0.013425,-0.014828,7.99573,0,1,0,0,0,negative
12,14,-2,0,1,1,13,16,-3,0,31,296,14,17,0,-3,14,17,-3,3.78745,-6.126825,-2.339375,-0.30917,0.012795,0.000412,-0.020699,-0.001457,0.12208,-0.43125,4.435,-6.704505,-2.269505,-0.30917,0.014983,-0.02265,0.000412,-0.001457,4.55708,-7.135755,0.015396,-0.024107,-2.578675,4.55708,-7.135755,0.015396,-0.024107,11.692835,0,0,0,0,0,negative
10,13,-3,2,2,0,10,14,-4,2,26,356,12,14,0.002809,-2,12,14,-2,1.71442,-5.86287,-4.14845,0.47331,0.004816,0.00133,-0.016469,0,0.47331,0,1.71442,-6.199255,-4.484835,0.47331,0.004816,-0.017414,0.00133,0,2.18773,-6.199255,0.006145,-0.017414,-4.011525,2.18773,-6.199255,0.006145,-0.017414,8.386985,0,1,0,0,0,negative
24,7,17,3,5,4,29,10,19,1,48,465,34,14,0.006452,20,34,14,20,6.4346,-3.904305,2.530295,0.505153,0.013838,0.001406,-0.008396,-0.00032,0.71485,-1.242302,7.93796,-4.691791,3.24617,-0.527452,0.017071,-0.01009,0.001537,-0.002672,8.65281,-5.934092,0.018608,-0.012761,2.718718,8.65281,-5.934092,0.018608,-0.012761,14.586902,1,0,1,1,1,positive
21,11,10,5,5,0,23,11,12,5,39,291,28,11,0,17,28,11,17,5.88239,-4.389675,1.492715,0.90645,0.020214,0.003115,-0.015085,0,0.90645,0,6.84254,-4.389675,2.452865,0.90645,0.023514,-0.015085,0.003115,0,7.74899,-4.389675,0.026629,-0.015085,3.359315,7.74899,-4.389675,0.026629,-0.015085,12.138665,0,1,0,0,0,negative
14,11,3,1,2,1,16,12,4,1,31,296,18,13,0.006757,5,18,13,5,4.73664,-2.907315,1.829325,0.042435,0.016002,0.001546,-0.009822,-0.001402,0.45756,-0.415125,5.333171,-3.179795,2.153376,0.042435,0.018017,-0.010743,0.001546,-0.001402,5.790731,-3.59492,0.019563,-0.012145,2.195811,5.790731,-3.59492,0.019563,-0.012145,9.385651,1,0,1,1,1,negative
63,66,-3,0,7,6,71,76,-5,1,161,1788,78,82,0.002237,-4,78,83,-5,13.425205,-9.58167,3.843535,-0.254888,0.007509,0.000291,-0.005359,-0.000433,0.870739,-1.15249,15.987379,-11.785406,4.201973,-0.281751,0.008941,-0.006591,0.000487,-0.000645,16.858118,-12.937896,0.009428,-0.007236,3.920222,16.858118,-13.356701,0.009428,-0.00747,30.214819,0,0,0,0,0,positive
7,8,-1,3,4,0,9,8,1,4,21,188,13,8,0,5,13,8,5,2.85045,-4.070385,-1.219935,0.74863,0.015162,0.003982,-0.021651,0,0.92689,0,3.74275,-4.070385,-0.327635,0.92689,0.019908,-0.021651,0.00493,0,4.66964,-4.070385,0.024839,-0.021651,0.599255,4.66964,-4.070385,0.024839,-0.021651,8.740025,0,1,0,0,0,negative
7,8,-1,2,2,0,7,9,-2,2,18,282,9,9,0,0,9,9,0,3.09536,-2.344695,0.750665,0.40245,0.010976,0.001427,-0.008315,0,0.40245,0,3.09536,-2.382765,0.712595,0.40245,0.010976,-0.00845,0.001427,0,3.49781,-2.382765,0.012404,-0.00845,1.115045,3.49781,-2.382765,0.012404,-0.00845,5.880575,1,1,1,1,1,negative
24,11,13,-4,4,8,31,14,17,-4,58,663,35,22,0.010558,13,36,22,14,5.065078,-4.2069,0.858178,-0.73699,0.00764,0.000124,-0.006345,-0.001236,0.347473,-1.3835,7.446523,-4.943688,2.502835,-1.036028,0.011232,-0.007457,0.000524,-0.002087,7.793995,-6.327188,0.011756,-0.009543,1.466808,7.911752,-6.327188,0.011933,-0.009543,14.238939,0,0,0,0,0,positive
12,6,6,0,1,1,12,6,6,0,20,300,13,7,0,6,13,7,6,3.04088,-1.568205,1.472675,-0.2393,0.010136,0.001303,-0.005227,-0.0021,0.39079,-0.63009,3.04088,-1.568205,1.472675,-0.2393,0.010136,-0.005227,0.001303,-0.0021,3.43167,-2.198295,0.011439,-0.007328,1.233375,3.43167,-2.198295,0.011439,-0.007328,5.629965,1,0,1,0,0,negative
13,7,6,3,3,0,13,8,5,3,24,263,16,8,0,8,16,8,8,4.61303,-4.243545,0.369485,0.47331,0.01754,0.0018,-0.016135,0,0.47331,0,4.61303,-4.787325,-0.174295,0.47331,0.01754,-0.018203,0.0018,0,5.08634,-4.787325,0.01934,-0.018203,0.299015,5.08634,-4.787325,0.01934,-0.018203,9.873665,0,1,0,0,0,negative
16,14,2,0,1,1,17,14,3,0,33,386,18,15,0,3,18,15,3,5.281087,-4.759995,0.521092,-0.024335,0.013682,0.001012,-0.012332,-0.001075,0.39079,-0.415125,5.433028,-4.759995,0.673033,-0.024335,0.014075,-0.012332,0.001012,-0.001075,5.823818,-5.17512,0.015088,-0.013407,0.648698,5.823818,-5.17512,0.015088,-0.013407,10.998938,0,0,0,0,0,positive
46,13,33,6,10,6,51,22,29,4,89,942,61,28,0.0138,33,61,28,33,9.757675,-3.719018,6.038658,0.299783,0.010358,0.000602,-0.003948,-0.000284,0.842746,-1.644328,11.551214,-6.110958,5.440256,-0.801583,0.012262,-0.006487,0.000895,-0.001746,12.393959,-7.755286,0.013157,-0.008233,4.638674,12.393959,-7.755286,0.013157,-0.008233,20.149245,0,0,0,0,0,positive
11,2,9,1,1,0,12,2,10,1,15,167,13,2,0,11,13,2,11,1.46221,-1.31202,0.15019,0.39079,0.008756,0.00234,-0.007856,0,0.39079,0,1.85476,-1.31202,0.54274,0.39079,0.011106,-0.007856,0.00234,0,2.24555,-1.31202,0.013446,-0.007856,0.93353,2.24555,-1.31202,0.013446,-0.007856,3.55757,0,1,0,0,0,positive
11,5,6,0,1,1,13,6,7,0,21,415,14,7,0,7,14,7,7,3.08774,-2.14242,0.94532,0.30067,0.00744,0.000942,-0.005162,-0.000217,0.39079,-0.09012,4.792148,-2.454608,2.33754,0.30067,0.011547,-0.005915,0.000942,-0.000217,5.182938,-2.544728,0.012489,-0.006132,2.63821,5.182938,-2.544728,0.012489,-0.006132,7.727665,0,1,1,1,1,positive
46,31,15,8,11,5,60,41,19,6,117,1105,71,46,0.00905,25,71,46,25,8.163312,-6.70279,1.460522,0.542142,0.007388,0.000907,-0.006066,-0.000416,1.002327,-0.946367,12.976475,-11.253523,1.722952,0.05596,0.011743,-0.010184,0.000907,-0.000856,13.978802,-12.19989,0.01265,-0.011041,1.778912,13.978802,-12.19989,0.01265,-0.011041,26.178692,0,0,0,0,0,positive
26,6,20,1,2,1,27,8,19,1,38,362,29,9,0.002762,20,29,9,20,7.232038,-2.44839,4.783648,0.49897,0.019978,0.001627,-0.006764,-0.000249,0.58909,-0.09012,7.39205,-3.685363,3.706688,0.49897,0.02042,-0.010181,0.001627,-0.000249,7.98114,-3.775483,0.022047,-0.01043,4.205658,7.98114,-3.775483,0.022047,-0.01043,11.756623,1,1,1,1,1,positive
